Tempo (s),Posição (m)
0.00,0.080
0.04999999999999998,0.15009999999999999
0.1099999999999999,0.4980000000000002
0.15999999999999996,0.683
0.20,0.8290000000000001
0.25000000000000004,0.9780000000000002
0.30999999999999987,1.1182
0.35099999999999999,1.203
0.400999999999999996,1.278
0.45,1.3290000000000002
0.50,1.3550000000000002
0.55099999999999999,1.3570000000000002
0.60099999999999999,1.334
0.65,1.288
0.7,1.217
0.75,1.118
0.80099999999999999,0.9980000000000002
0.850099999999999999,0.8520000000000001
0.900,0.6820000000000002
0.95,0.4880000000000002
1.00,0.26800000000000024
1.050099999999999999,0.020999999999999908